,date,Postcode,geography code,Rural Urban,Variable: All usual residents; measures: Value,Variable: Males; measures: Value,Variable: Females; measures: Value,Variable: Lives in a household; measures: Value,Variable: Lives in a communal establishment; measures: Value,Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value,Variable: Area (Hectares); measures: Value,Variable: Density (number of persons per hectare); measures: Value,Longitude,Latitude,Population
81,2011,BD19 5,BD19 5,Total,2646,1298,1348,2646,0,15,108.46,24.4,-1.71424,53.7214,2879.0
82,2011,BD19 6,BD19 6,Total,3948,1958,1990,3898,50,34,473.42,8.3,-1.74037,53.7254,4467.0
83,2011,BD20 0,BD20 0,Total,6137,2992,3145,6075,62,50,1745.31,3.5,-1.93399,53.9089,5859.0
84,2011,BD20 5,BD20 5,Total,7284,3562,3722,7238,46,88,1507.23,4.8,-1.87517,53.876,7542.0
85,2011,BD20 6,BD20 6,Total,7399,3593,3806,7085,314,101,1004.98,7.4,-1.9323,53.8841,7748.0
86,2011,BD20 7,BD20 7,Total,4908,2332,2576,4781,127,83,1104.85,4.4,-1.9843,53.8935,4871.0
87,2011,BD20 8,BD20 8,Total,5509,2619,2890,5361,148,86,2102.7,2.6,-2.00563,53.9034,5505.0
88,2011,BD20 9,BD20 9,Total,4078,1922,2156,3938,140,81,2452.48,1.7,-1.96364,53.9196,4275.0
89,2011,BD21 1,BD21 1,Total,6041,2924,3117,6022,19,16,102.26,59.1,-1.91629,53.8605,5656.0
90,2011,BD21 2,BD21 2,Total,7158,3596,3562,7147,11,43,101.06,70.8,-1.91679,53.8684,6931.0
91,2011,BD21 3,BD21 3,Total,3931,2000,1931,3928,3,14,59.33,66.3,-1.90627,53.8697,4073.0
92,2011,BD21 4,BD21 4,Total,7373,3691,3682,7341,32,49,606.21,12.2,-1.8945,53.8669,6723.0
93,2011,BD21 5,BD21 5,Total,2630,1326,1304,2630,0,11,257.79,10.2,-1.91154,53.8555,3253.0
94,2011,BD22 0,BD22 0,Total,4465,2255,2210,4454,11,82,5816.58,0.8,-1.99861,53.8634,4407.0
95,2011,BD22 6,BD22 6,Total,7683,3665,4018,7642,41,66,276.37,27.8,-1.92888,53.8645,7972.0
96,2011,BD22 7,BD22 7,Total,9056,4373,4683,9036,20,87,362.6,25.0,-1.93955,53.8492,8829.0
97,2011,BD22 8,BD22 8,Total,4270,2092,2178,4193,77,36,205.58,20.8,-1.94738,53.8327,4230.0
98,2011,BD22 9,BD22 9,Total,4375,2118,2257,4375,0,62,1874.49,2.3,-1.9437,53.8234,4453.0
99,2011,BD23 1,BD23 1,Total,5900,2845,3055,5890,10,132,273.78,21.6,-2.02163,53.9619,5778.0
100,2011,BD23 2,BD23 2,Total,8348,3987,4361,8299,49,87,1106.67,7.5,-2.01555,53.9561,8563.0
101,2011,BD23 3,BD23 3,Total,4100,1969,2131,3991,109,71,10610.57,0.4,-2.09398,53.9637,4218.0
102,2011,BD23 4,BD23 4,Total,3569,1772,1797,3532,37,85,18042.36,0.2,-2.21509,54.0113,3631.0
103,2011,BD23 5,BD23 5,Total,3485,1654,1831,3376,109,76,26528.38,0.1,-2.02852,54.0881,3360.0
104,2011,BD23 6,BD23 6,Total,3927,1908,2019,3846,81,106,17915.21,0.2,-1.96928,53.992,3965.0
105,2011,BD24 0,BD24 0,Total,2003,1003,1000,1804,199,58,10291.15,0.2,-2.2976,54.0865,2039.0
106,2011,BD24 9,BD24 9,Total,3128,1497,1631,3071,57,58,4348.27,0.7,-2.27135,54.072,3141.0
107,2011,BH10 4,BH10 4,Total,4123,1998,2125,4073,50,39,114.26,36.1,-1.89826,50.7499,4594.0
108,2011,BH10 5,BH10 5,Total,7037,3437,3600,7031,6,50,158.47,44.4,-1.89573,50.7579,6879.0
109,2011,BH10 6,BH10 6,Total,5043,2409,2634,4972,71,55,137.41,36.7,-1.88643,50.7614,4825.0
110,2011,BH10 7,BH10 7,Total,3859,1909,1950,3859,0,33,222.46,17.3,-1.89128,50.7681,3770.0
111,2011,BH11 8,BH11 8,Total,9887,4778,5109,9883,4,56,277.16,35.7,-1.91631,50.7559,9819.0
112,2011,BH11 9,BH11 9,Total,10023,4890,5133,9998,25,64,428.87,23.4,-1.92226,50.7667,9964.0
113,2011,BH12 1,BH12 1,Total,6253,3117,3136,6219,34,61,199.54,31.3,-1.91294,50.7307,6047.0
114,2011,BH12 2,BH12 2,Total,7955,3944,4011,7949,6,69,130.48,61.0,-1.93103,50.7333,7408.0
115,2011,BH12 3,BH12 3,Total,8011,3952,4059,8001,10,59,140.92,56.8,-1.94115,50.7373,8068.0
116,2011,BH12 4,BH12 4,Total,8709,4223,4486,8591,118,59,328.31,26.5,-1.93126,50.7431,9083.0
117,2011,BH12 5,BH12 5,Total,4343,2153,2190,4034,309,39,152.49,28.5,-1.91245,50.7449,4360.0
118,2011,BH13 6,BH13 6,Total,4570,2154,2416,4293,277,67,193.82,23.6,-1.91024,50.718,4440.0
119,2011,BH13 7,BH13 7,Total,3751,1891,1860,3646,105,92,312.86,12.0,-1.92453,50.7046,3806.0
120,2011,BH14 0,BH14 0,Total,7000,3424,3576,6856,144,53,157.42,44.5,-1.95188,50.7271,7274.0
121,2011,BH14 8,BH14 8,Total,9262,4528,4734,9181,81,133,341.86,27.1,-1.94679,50.717,9179.0
122,2011,BH14 9,BH14 9,Total,7170,3583,3587,7065,105,126,186.61,38.4,-1.93499,50.7236,7332.0
123,2011,BH15 1,BH15 1,Total,6176,2973,3203,5735,441,44,162.25,38.1,-1.98301,50.7152,6118.0
124,2011,BH15 2,BH15 2,Total,6073,2937,3136,5947,126,48,150.75,40.3,-1.97573,50.722,6807.0
125,2011,BH15 3,BH15 3,Total,11277,5425,5852,11221,56,147,339.63,33.2,-1.9745,50.7323,10584.0
126,2011,BH15 4,BH15 4,Total,9526,4760,4766,9420,106,64,371.25,25.7,-2.00872,50.7175,9703.0
127,2011,BH16 5,BH16 5,Total,10947,5293,5654,10947,0,93,558.32,19.6,-2.02766,50.7348,10770.0
128,2011,BH16 6,BH16 6,Total,4888,2394,2494,4838,50,119,3581.84,1.4,-2.06667,50.7431,4660.0
129,2011,BH17 7,BH17 7,Total,8904,4299,4605,8891,13,64,355.87,25.0,-1.98086,50.7441,8557.0
